card_url	color	number	name	text	flavor	mana	type	otherSets	cmc	rarity	expansion	artist	pt	mark	colorIndicator	image_url	image_file	booze_text
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Accorder+Paladin	White	1	Accorder Paladin	"Battle cry(Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)"	"I fight for the suns, the surface, and everything in between."		Creature   Human Knight		2	Uncommon	Mirrodin Besieged	Kekai Kotaki	1-Mar	Mirran		../../Handlers/Image.ashx?multiverseid=213818&type=card	0.jpg	"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 and gains drunktouch until end of turn.)"
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Angel+of+Serenity	White	58	Angel of Serenity	"FlyingWhen Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.When Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands."			Creature   Angel		7	Mythic Rare	Commander 2015	Aleksi Briclot	6-May			../../Handlers/Image.ashx?multiverseid=405126&type=card	1.jpg	"Flying\nWhen Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards. Drink for each creature exiled this way.\nWhen Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands. Each opponent drinks 1 for each creature returned to hand this way."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Archangel+of+Thune	White	5	Archangel of Thune	"FlyingLifelink(Damage dealt by this creature also causes you to gain that much life.)Whenever you gain life, put a +1/+1 counter on each creature you control."	Even the wicked have nightmares.		Creature   Angel		5	Mythic Rare	Magic 2014 Core Set	James Ryman	4-Mar			../../Handlers/Image.ashx?multiverseid=370627&type=card	2.jpg	"Flying\nLifelink\nDrunktouch\nWhenever you gain life, put a +1/+1 counter on each creature you control."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Baneslayer+Angel	White	6	Baneslayer Angel	"Flying, first strike, lifelink, protection from Demons and from Dragons"	Some angels protect the meek and innocent. Others seek out and smite evil wherever it lurks.		Creature   Angel		5	Mythic Rare	From the Vault: Angels	Greg Staples	5-May			../../Handlers/Image.ashx?multiverseid=401633&type=card	3.jpg	"Flying, first strike, lifelink, protection from Demons, from Dragons, and creatures with buzztouch or drunktouch"
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Banisher+Priest	White	2	Banisher Priest	"When Banisher Priest enters the battlefield, exile target creature an opponent controls until Banisher Priest leaves the battlefield.(That creature returns under its owner's control.)"	"Oathbreaker, I cast you out!"		Creature   Human Cleric		3	Uncommon	Duel Decks: Elspeth vs. Kiora	Willian Murai	2-Feb			../../Handlers/Image.ashx?multiverseid=394353&type=card	4.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Blade+Splicer	White	4	Blade Splicer	"When Blade Splicer enters the battlefield, put a 3/3 colorless Golem artifact creature token onto the battlefield.Golem creatures you control have first strike."			Creature   Human Artificer		3	Rare	New Phyrexia	Greg Staples	1-Jan	Phyrexian		../../Handlers/Image.ashx?multiverseid=233068&type=card	5.jpg	"When Blade Splicer enters the battlefield, put a 3/3 colorless Golem artifact creature token onto the battlefield. Golem creatures you control have buzztouch."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Brimaz%2C+King+of+Oreskos	White	5	"Brimaz, King of Oreskos"	"VigilanceWhenever Brimaz, King of Oreskos attacks, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking.Whenever Brimaz blocks a creature, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature."			Legendary Creature   Cat Soldier		3	Mythic Rare	Born of the Gods	Peter Mohrbacher	4-Mar			../../Handlers/Image.ashx?multiverseid=378377&type=card	6.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Champion+of+the+Parish	White	6	Champion of the Parish	"Whenever another Human enters the battlefield under your control, put a +1/+1 counter on Champion of the Parish."	"I stand for every cobbler, tanner, and fool in this townand they stand for me."		Creature   Human Soldier		1	Rare	Innistrad	Svetlin Velinov	1-Jan			../../Handlers/Image.ashx?multiverseid=262861&type=card	7.jpg	
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Cloudgoat+Ranger	White	10	Cloudgoat Ranger	"When Cloudgoat Ranger enters the battlefield, put three 1/1 white Kithkin Soldier creature tokens onto the battlefield.Tap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn."			Creature   Giant Warrior		5	Uncommon	Modern Masters	Adam Rex	3-Mar			../../Handlers/Image.ashx?multiverseid=370553&type=card	8.jpg	"When Cloudgoat Ranger enters the battlefield, put three 1/1 white Kithkin Soldier creature tokens with buzztouch onto the battlefield.\nTap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn."
http://gatherer.wizards.com/Pages/Card/Details.aspx?name=Eight-and-a-Half-Tails	White	8	Eight-and-a-Half-Tails	: Target permanent you control gains protection from white until end of turn.: Target spell or permanent becomes white until end of turn.	Virtue is an inner light that can prevail in every soul.		Legendary Creature   Fox Cleric		2	Rare	Champions of Kamigawa	Daren Bader	2-Feb			../../Handlers/Image.ashx?multiverseid=50296&type=card	9.jpg	
