Symbol	Symbol Code
Tap	T
Untap	UT
White	W
Red	R
Blue	U
Green	G
Black	B
Variable Colorless	X
Two or White	2W
Two or Red	2R
Two or Blue	2U
Two or Green	2G
Two or Black	2B
Phyrexian White	PW
Phyrexian Red	PR
Phyrexian Blue	PU
Phyrexian Green	PG
Phyrexian Black	PB
Drinking White	DW
Drinking Red	DR
Drinking Blue	DU
Drinking Green	DG
Drinking Black	DB
Drinking Colorless	DC
White or Red	WR
White or Blue	WU
White or Green	WG
White or Black	WB
Red or White	RW
Red or Blue	RU
Red or Green	RG
Red or Black	RB
Blue or White	UW
Blue or Red	UR
Blue or Green	UG
Blue or Black	UB
Green or White	GW
Green or Red	GR
Green or Blue	GU
Green or Black	GB
Black or White	BW
Black or Red	BR
Black or Blue	BU
Black or Green	BG
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
