Expansion Code	Type	TLX	TLY	BRX1	BRY1	BRX2	BRY2
Default	Creature	17	285	290	400	235	410
Default	NonCreature	17	285	290	410	290	410
pvc	Creature	20	285	290	400	235	410
pvc	NonCreature	20	285	290	410	290	410
ths	Creature	20	285	290	400	235	410
ths	NonCreature	20	285	290	410	290	410
zen	Creature	20	285	290	400	235	410
zen	NonCreature	20	285	290	410	290	410
rtr	Creature	20	285	290	400	235	410
rtr	NonCreature	20	285	290	410	290	410
c13	Creature	20	285	290	400	235	410
c13	NonCreature	20	285	290	410	290	410
ts	Creature	20	285	290	400	235	410
ts	NonCreature	20	285	290	410	290	410
mma	Creature	20	285	290	400	235	410
mma	NonCreature	20	285	290	410	290	410
v14	Creature	20	285	290	400	235	410
v14	NonCreature	20	285	290	410	290	410
tpr	Creature	20	285	290	400	235	410
tpr	NonCreature	20	285	290	410	290	410
nph	Creature	20	285	290	400	235	410
nph	NonCreature	20	285	290	410	290	410
vma	Creature	23	285	290	400	235	410
vma	NonCreature	23	285	290	410	290	410
isd	Creature	20	285	290	400	235	410
isd	NonCreature	20	285	290	410	290	410
c15	Creature	20	285	290	400	235	410
c15	NonCreature	20	285	290	410	290	410
eve	Creature	20	285	290	400	235	410
eve	NonCreature	20	285	290	410	290	410
ddj	Creature	20	285	290	400	235	410
ddj	NonCreature	20	285	290	410	290	410
ul	Creature	25	280	280	400	235	410
ul	NonCreature	25	280	280	410	290	410
ddk	Creature	23	285	290	400	235	410
ddk	NonCreature	23	285	290	410	290	410
dka	Creature	20	285	290	400	235	410
dka	NonCreature	20	285	290	410	290	410
avr	Creature	20	285	290	400	235	410
avr	NonCreature	20	285	290	410	290	410
bng	Creature	20	285	290	400	235	410
bng	NonCreature	20	285	290	410	290	410
m10	Creature	20	285	290	400	235	410
m10	NonCreature	20	285	290	410	290	410
lw	Creature	20	285	290	400	235	410
lw	NonCreature	20	285	290	410	290	410
md1	Creature	20	285	290	400	235	410
md1	NonCreature	20	285	290	410	290	410
tsts	Creature	25	275	290	400	235	410
tsts	NonCreature	25	275	290	410	290	410
wwk	Creature	20	285	290	400	235	410
wwk	NonCreature	20	285	290	410	290	410
m12	Creature	20	285	290	400	235	410
m12	NonCreature	20	285	290	410	290	410
pd2	Creature	20	285	290	400	235	410
pd2	NonCreature	20	285	290	410	290	410
jou	Creature	20	285	290	400	235	410
jou	NonCreature	20	285	290	410	290	410
m14	Creature	20	285	290	400	235	410
m14	NonCreature	20	285	290	410	290	410
mbs	Creature	20	285	290	400	235	410
mbs	NonCreature	20	285	290	410	290	410
m13	Creature	20	285	290	400	235	410
m13	NonCreature	20	285	290	410	290	410
gtc	Creature	20	285	290	400	235	410
gtc	NonCreature	20	285	290	410	290	410
v13	Creature	20	285	290	400	235	410
v13	NonCreature	20	285	290	410	290	410
cns	Creature	20	285	290	400	235	410
cns	NonCreature	20	285	290	410	290	410
fut	Creature	20	285	290	400	235	410
fut	NonCreature	20	285	290	410	290	410
ddl	Creature	20	285	290	400	235	410
ddl	NonCreature	20	285	290	410	290	410
som	Creature	22	285	290	400	235	410
som	NonCreature	22	285	290	410	290	410
10e	Creature	20	285	290	400	235	410
10e	NonCreature	20	285	290	410	290	410
exp	Creature	20	270	290	400	235	410
exp	NonCreature	20	270	290	410	290	410
dgm	Creature	20	285	290	400	235	410
dgm	NonCreature	20	285	290	410	290	410
cs	Creature	20	285	290	400	235	410
cs	NonCreature	20	285	290	410	290	410
